EuroCrops: Harmonized Open Crop Dataset,,,,,
translated_name-original_name,HCAT3_name,HCAT2_name,gpw_class,weight,obs
 VALUABLE ECOLOGIC PROTECTION AREA,not_known_and_other,not_known_and_other,0,0,
(Protected Landscape Element) HEDGE / SHORE WOOD,tree_wood_forest,tree_wood_forest,0,1,
(tuber) fennel - fresh,fennel,fennel,3,1,
20 YEAR SHUTDOWN,unmaintained,unmaintained,0,0,
20-year set aside,fallow_land_not_crop,fallow_land_not_crop,0,0,
20-year set aside with scheme of forest establiment from NST,afforestation_reforestation,afforestation_reforestation,0,0,
20-year set-aside of arable land with voluntary afforestation,afforestation_reforestation,afforestation_reforestation,0,0,
A mixture of honey plants,not_known_and_other,not_known_and_other,0,0,
A mixture of honey plants with other agricultural plants,not_known_and_other,not_known_and_other,0,0,
AECM no set aside not farmland area,not_known_and_other,not_known_and_other,0,0,
AL taken from generation,unmaintained,unmaintained,0,0,
ALFALFA,alfalfa_lucerne,alfalfa_lucerne,2,1,forage crop
ALM FORAGE AREA,pasture_meadow_grassland_grass,pasture_meadow_grassland_grass,1,1,
ALMOND,almond,almond,3,1,
ALTERNATE MEADOW (EGART,pasture_meadow_grassland_grass,pasture_meadow_grassland_grass,1,1,
AMARANTH,amaranth,amaranth,3,1,
ANNUAL AND OTHER CULT. FORAGE ANNUALS,other_arable_land_crops,other_arable_land_crops,2,2,
APPLE,apples,apples,3,1,
ARABLE LAND,arable_crops,arable_crops,0,0,
AROM. MEDICINAL AND CONDIMENTAL PLANTS,aromatic_medicinal_culinary_plants_spices_herbs,aromatic_medicinal_culinary_plants_spices_herbs,3,2,
ASOC. FRUIT-NUTS,nuts,nuts,3,1,
ASOC. FRUIT-NUTS,orchards_fruits,orchards_fruits,3,1,
ASOC. FRUIT-VINEYARD,orchards_fruits,orchards_fruits,3,1,
ASOC. FRUIT-VINEYARD,vineyards_wine_vine_rebland_grapes,vineyards_wine_vine_rebland_grapes,3,1,
ASOC. OLIVE-FRUIT TREES,olive_plantations,olive_plantations,3,1,
ASOC. OLIVE-FRUIT TREES,orchards_fruits,orchards_fruits,3,1,
ASOC. OLIVE-VINEYARD,olive_plantations,olive_plantations,3,1,
ASOC. OLIVE-VINEYARD,vineyards_wine_vine_rebland_grapes,vineyards_wine_vine_rebland_grapes,3,1,
AVOCADO,avocado,avocado,3,1,
Adonis,adonis,adonis,3,1,
Afforestation,afforestation_reforestation,afforestation_reforestation,0,0,
Afforestation (private) - improvement of aquatic environment and groundwater protection,afforestation_reforestation,afforestation_reforestation,0,0,
Afforestation (short rotation),afforestation_reforestation,afforestation_reforestation,0,0,
Afforestation - the improvement of aquatic environment and groundwater protection,afforestation_reforestation,afforestation_reforestation,0,0,
Afforestation deciduous trees-ecological,afforestation_reforestation,afforestation_reforestation,0,0,
Afforestation in rural areas,afforestation_reforestation,afforestation_reforestation,0,0,
Afforestation of conifers,afforestation_reforestation,afforestation_reforestation,0,0,
Afforestation of deciduous trees-economical,afforestation_reforestation,afforestation_reforestation,0,0,
Afforestation with contract for 2008,afforestation_reforestation,afforestation_reforestation,0,0,
